date;nom_plan_eau;habitat;region;latitude;longitude;groupe;especes;nom_commun;type_observation;source;references;code_observation
1905-05-29;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.39569;-72.36740;mollusque;Sphaerium corneum;Cyclade commune;Échantillonnage scientifique;Littérature scientifique;Vincent et Vaillancourt (1978);SPCO01
1905-05-29;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.39569;-72.36740;mollusque;Pisidium amnicum;Pisidie de vase;Échantillonnage scientifique;Littérature scientifique;Vincent et Vaillancourt (1978);PIAM01
1910-06-24;Saint-Laurent, Fleuve;fleuve;Montréal;45.44734;-73.79365;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;Littérature scientifique;McCrimmons (1968);CYCA01
1923;Saint-Jean, Lac;lac;Saguenay - Lac-Saint-Jean;48.55092;-72.03498;crustacé;Eurytemora affinis;Copepode E. affinis;Échantillonnage scientifique;Littérature scientifique;Willey (1923), Lee (1999);
1934-06-25;Richelieu, Rivière;rivière;Montérégie;45.06230;-73.33286;hydrozoaire;Craspedacusta sowerbii;Méduse d'eau douce;Échantillonnage scientifique;Littérature scientifique;Fantham et Porter (1938);CRSO01
1941-05-15;Outaouais, Rivière des;rivière;Laurentides;45.64261;-74.74658;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;Littérature scientifique;McCrimmons (1968);CYCA03
1952-08-28;Orignal, Lac de l';lac;Estrie;45.61003;-70.90587;poisson;Carassius auratus;Poisson rouge;Mention du public;MELCCFP;;CAAU01
1953;Palmer, Rivière;rivière;Chaudière-Appalaches;46.31841;-71.44843;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA06
1953;Caribou, Lac;lac;Chaudière-Appalaches;46.01639;-71.32273;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA05
1955-06-25;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.75961;-71.23949;mollusque ;Viviparus georgianus ;Vivipare géorgienne;Échantillonnage scientifique;Littérature scientifique;Bousfield et al. (1955);VIGE01
1955-08-20;Ouimet, Lac;lac;Laurentides;46.16807;-74.58699;hydrozoaire;Craspedacusta sowerbii;Méduse d'eau douce;Échantillonnage scientifique;Littérature scientifique;Robert (1956);CRSO02
1955-09-15;Escalier, Réservoir l';réservoir;Outaouais;45.85963;-75.67490;hydrozoaire;Craspedacusta sowerbii;Méduse d'eau douce;Échantillonnage scientifique;Littérature scientifique;Magnin (1980);CRSO04
1955-09-15;Manitou, Lac;lac;Laurentides;46.05599;-74.36080;hydrozoaire;Craspedacusta sowerbii;Méduse d'eau douce;Échantillonnage scientifique;Littérature scientifique;Robert (1956);CRSO03
1961-08-10;Saint-Laurent, Fleuve;fleuve;Bas-Saint-Laurent;47.84894;-69.56284;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;Littérature scientifique;Vladykov and McAllister (1961);CYCA07
1963;Truite, Lac à la;lac;Chaudière-Appalaches;46.08451;-71.50118;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA09
1964-01-01;Bulstrode, Rivière;rivière;Chaudière-Appalaches;46.00511;-71.64509;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA10
1964-07-13;Stoke, Lac;lac;Estrie;45.51809;-71.81063;poisson;Carassius auratus;Poisson rouge;Mention du public;MELCCFP;;CAAU02
1966-06-12;Kamouraska, Rivière;rivière;Bas-Saint-Laurent;47.57168;-69.85406;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;Littérature scientifique;McCrimmons (1968);CYCA11
1967;Normand, Lac;lac;Mauricie;47.06795;-73.23429;poisson;Oncorhynchus nerka;Saumon kokani;Programme d'ensemencement historique;Ensemencement;https://www.sepaq.com/rf/stm/portrait.dot?language_id=2 ;ONNE01
1967-09-11;Saint-Laurent, Golfe du ;golfe;Côte-Nord;50.77280;-59.02892;poisson;Oncorhynchus gorbuscha;Saumon rose;Échantillonnage scientifique;Littérature scientifique;Legendre et Carter (1968);ONGO02
1967-09-25;Watshishou, Rivière;rivière;Côte-Nord;50.29639;-62.65306;poisson;Oncorhynchus gorbuscha;Saumon rose;Échantillonnage scientifique;Littérature scientifique;Legendre et Carter (1968);ONGO01
1968;Saint-Laurent, Fleuve;fleuve;Montérégie;45.37630;-73.87270;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Magnin (1970);BITE01
1968-01-01;Bulstrode, Rivière;rivière;Chaudière-Appalaches;46.00511;-71.64509;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA12
1969-07-11;Soulanges, Canal de ;canal;Montérégie;45.32421;-74.00542;mollusque ;Cipangopaludina chinensis;Vivipare chinoise;Échantillonnage scientifique;Littérature scientifique;Plinski et al. (1978);CICH01
1970-06-04;Castors, Lac aux;lac;Montréal;45.49852;-73.59663;mollusque ;Cipangopaludina chinensis;Vivipare chinoise;Échantillonnage scientifique;Littérature scientifique;Plinski et al. (1978);CICH03
1970-08-17;Saint-Laurent, Fleuve;fleuve;Montérégie;45.39466;-73.94822;mollusque ;Cipangopaludina chinensis;Vivipare chinoise;Échantillonnage scientifique;Littérature scientifique;Plinski et al. (1978);CICH02
1971-07-12;Grande, Rivière;rivière;Chaudière-Appalaches;46.56997;-71.98987;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA13
1971-10-20;Bolduc, Lac;lac;Chaudière-Appalaches;46.01382;-71.11678;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA14
1972-11-10;Lippé, Lac;lac;Estrie;45.09809;-71.65508;poisson;Carassius auratus;Poisson rouge;Mention du public;MELCCFP;;CAAU03
1973-09-15;Labelle, Lac;lac;Laurentides;46.27072;-74.81748;hydrozoaire;Craspedacusta sowerbii;Méduse d'eau douce;Échantillonnage scientifique;Littérature scientifique;Magnin (1980);CRSO05
1975;Saint-Laurent, Fleuve;fleuve;Montérégie;45.26610;-74.18080;mollusque;Valvata piscinalis;Valvée porte-plume;Échantillonnage scientifique;Littérature scientifique;Lamarche et al. (1982);VAPI01
1975;Saint-Laurent, Fleuve;fleuve;Montérégie;45.34890;-73.97710;mollusque;Valvata piscinalis;Valvée porte-plume;Échantillonnage scientifique;Littérature scientifique;Lamarche et al. (1982);VAPI03
1975;Saint-Laurent, Fleuve;fleuve;Laval;45.69310;-73.53170;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Lamarche et al. (1982);BITE04
1975;Saint-Laurent, Fleuve;fleuve;Laval;45.69310;-73.53170;mollusque;Valvata piscinalis;Valvée porte-plume;Échantillonnage scientifique;Littérature scientifique;Lamarche et al. (1982);VAPI06
1975;Saint-Laurent, Fleuve;fleuve;Montérégie;45.53760;-73.52430;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Lamarche et al. (1982);BITE03
1975;Saint-Laurent, Fleuve;fleuve;Montérégie;45.53760;-73.52430;mollusque;Valvata piscinalis;Valvée porte-plume;Échantillonnage scientifique;Littérature scientifique;Lamarche et al. (1982);VAPI05
1975;Saint-Laurent, Fleuve;fleuve;Montérégie;45.56240;-73.49930;mollusque;Valvata piscinalis;Valvée porte-plume;Échantillonnage scientifique;Littérature scientifique;Lamarche et al. (1982);VAPI02
1975;Saint-Laurent, Fleuve;fleuve;Lanaudière;45.80230;-73.37490;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Lamarche et al. (1982);BITE02
1975;Saint-Laurent, Fleuve;fleuve;Lanaudière;45.80230;-73.37490;mollusque;Valvata piscinalis;Valvée porte-plume;Échantillonnage scientifique;Littérature scientifique;Lamarche et al. (1982);VAPI04
1976;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.39569;-72.36740;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Vincent et Vaillancourt (1978);BITE05
1976-08-01;Rond, Lac;lac;Chaudière-Appalaches;46.01696;-71.25535;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA15
1976-09-30;Bolduc, Lac;lac;Chaudière-Appalaches;46.01382;-71.11678;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA16
1978;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.25460;-72.65620;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);BITE06
1978;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.25460;-72.65620;mollusque;Sphaerium corneum;Cyclade commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);SPCO02
1978;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.25460;-72.65620;mollusque;Pisidium amnicum;Pisidie de vase;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);PIAM02
1978;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.37230;-72.46290;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);BITE07
1978;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.37230;-72.46290;mollusque;Sphaerium corneum;Cyclade commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);SPCO03
1978;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.37230;-72.46290;mollusque;Pisidium amnicum;Pisidie de vase;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);PIAM03
1978;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.38380;-72.42880;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);BITE08
1978;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.38380;-72.42880;mollusque;Sphaerium corneum;Cyclade commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);SPCO04
1978;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.38380;-72.42880;mollusque;Pisidium amnicum;Pisidie de vase;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);PIAM04
1978;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.39410;-72.39810;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);BITE09
1978;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.39410;-72.39810;mollusque;Sphaerium corneum;Cyclade commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);SPCO05
1978;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.39410;-72.39810;mollusque;Pisidium amnicum;Pisidie de vase;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);PIAM05
1978;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.4095;-72.35460;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);BITE10
1978;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.4095;-72.35460;mollusque;Sphaerium corneum;Cyclade commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);SPCO06
1978;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.4095;-72.35460;mollusque;Pisidium amnicum;Pisidie de vase;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);PIAM06
1978;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.41570;-72.31040;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);BITE11
1978;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.41570;-72.31040;mollusque;Sphaerium corneum;Cyclade commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);SPCO07
1978;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.41570;-72.31040;mollusque;Pisidium amnicum;Pisidie de vase;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);PIAM07
1978;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.42480;-72.24990;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);BITE12
1978;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.42480;-72.24990;mollusque;Sphaerium corneum;Cyclade commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);SPCO08
1978;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.42480;-72.24990;mollusque;Pisidium amnicum;Pisidie de vase;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);PIAM08
1978;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.56150;-72.07600;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);BITE13
1978;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.56150;-72.07600;mollusque;Sphaerium corneum;Cyclade commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);SPCO09
1978;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.56150;-72.07600;mollusque;Pisidium amnicum;Pisidie de vase;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);PIAM09
1978;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.56150;-72.07600;mollusque;Viviparus georgianus ;Vivipare géorgienne;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);VIGE76
1978;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.62410;-71.92290;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);BITE14
1978;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.62410;-71.92290;mollusque;Sphaerium corneum;Cyclade commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);SPCO10
1978;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.65620;-71.81010;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);BITE15
1978;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.65620;-71.81010;mollusque;Sphaerium corneum;Cyclade commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);SPCO11
1978;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.65620;-71.81010;mollusque;Pisidium amnicum;Pisidie de vase;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);PIAM10
1978;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.65620;-71.81010;mollusque;Viviparus georgianus ;Vivipare géorgienne;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);VIGE77
1978;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.64710;-71.66150;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);BITE16
1978;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.64710;-71.66150;mollusque;Sphaerium corneum;Cyclade commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);SPCO12
1978;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.64710;-71.66150;mollusque;Pisidium amnicum;Pisidie de vase;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);PIAM11
1978;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.64710;-71.66150;mollusque;Viviparus georgianus ;Vivipare géorgienne;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);VIGE78
1978;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.71820;-71.3744;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);BITE17
1978;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.71820;-71.3744;mollusque;Sphaerium corneum;Cyclade commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);SPCO13
1978;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.71820;-71.3744;mollusque;Viviparus georgianus ;Vivipare géorgienne;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);VIGE79
1978;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.83380;-71.14420;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);BITE18
1978;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.83380;-71.14420;mollusque;Sphaerium corneum;Cyclade commune;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);SPCO14
1978;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.83380;-71.14420;mollusque;Pisidium amnicum;Pisidie de vase;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);PIAM12
1978;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.83380;-71.14420;mollusque;Viviparus georgianus ;Vivipare géorgienne;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);VIGE80
1978;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.89060;-70.88560;mollusque;Pisidium amnicum;Pisidie de vase;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);PIAM13
1978;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.89060;-70.88560;mollusque;Viviparus georgianus ;Vivipare géorgienne;Échantillonnage scientifique;Littérature scientifique;Vincent (1979);VIGE81
1979-09-15;Connelly, Lac;lac;Laurentides;45.89809;-73.96685;hydrozoaire;Craspedacusta sowerbii;Méduse d'eau douce;Échantillonnage scientifique;MELCCFP;;CRSO06
1980-09-05;McAuley, Lac;lac;Outaouais;45.97645;-76.13200;hydrozoaire;Craspedacusta sowerbii;Méduse d'eau douce;Échantillonnage scientifique;Littérature scientifique;McAlpine et al. (2011);CRSO07
1981-09-28;Caribou, Lac;lac;Chaudière-Appalaches;46.01639;-71.32273;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA17
1982-06-11;Heney, Lac;lac;Outaouais;46.03152;-75.92696;crustacé;Faxonius rusticus;Écrevisse à taches rouges;Échantillonnage scientifique;Littérature scientifique;Maezo et al. (2010);FARU01
1983-06-01;Bolduc, Lac;lac;Chaudière-Appalaches;46.01382;-71.11678;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA18
1983-10-25;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.74130;-71.29470;poisson;Oncorhynchus tshawytscha;Saumon chinook;Échantillonnage scientifique;SEPAQ;RIPE;ONTS01
1984-10-12;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.74130;-71.29470;poisson;Oncorhynchus tshawytscha;Saumon chinook;Échantillonnage scientifique;SEPAQ;RIPE;ONTS02
1984-10-24;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.74130;-71.29470;poisson;Oncorhynchus tshawytscha;Saumon chinook;Échantillonnage scientifique;SEPAQ;RIPE;ONTS03
1985-07-29;Jolicoeur, Lac;lac;Chaudière-Appalaches;46.06187;-71.10258;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA19
1985-08-28;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.74130;-71.29470;poisson;Carassius auratus;Poisson rouge;Échantillonnage scientifique;SEPAQ;RIPE;CAAU04
1986;Moulin, Lac du;lac;Montérégie;45.54039;-73.32522;poisson;Carassius auratus;Poisson rouge;Mention du public;MELCCFP;;CAAU05
1987-08-01;Îles, Lac des;lac;Laurentides;46.46793;-75.53986;hydrozoaire;Craspedacusta sowerbii;Méduse d'eau douce;Échantillonnage scientifique;MELCCFP;;CRSO08
1987-09-29;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.74130;-71.29470;poisson;Oncorhynchus kisutch;Saumon coho;Échantillonnage scientifique;SEPAQ;RIPE;ONKI01
1987-10-14;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.74130;-71.29470;poisson;Oncorhynchus tshawytscha;Saumon chinook;Échantillonnage scientifique;SEPAQ;RIPE;ONTS05
1987-10-26;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.74130;-71.29470;poisson;Oncorhynchus tshawytscha;Saumon chinook;Échantillonnage scientifique;SEPAQ;RIPE;ONTS06
1988-04-27;Lièvre, Rivière du;rivière;Laurentides;46.10139;-75.64583;crustacé;Cambarus robustus;Écrevisse gèante;Échantillonnage scientifique;MELCCFP;;CARO01
1988-10-02;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.74130;-71.29470;poisson;Oncorhynchus tshawytscha;Saumon chinook;Échantillonnage scientifique;SEPAQ;RIPE;ONTS07
1988-10-13;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.74130;-71.29470;poisson;Oncorhynchus tshawytscha;Saumon chinook;Échantillonnage scientifique;SEPAQ;RIPE;ONTS08
1989-05-02;Lièvre, Rivière du;rivière;Laurentides;46.10139;-75.64583;crustacé;Cambarus robustus;Écrevisse gèante;Échantillonnage scientifique;MELCCFP;;CARO02
1990;Caribou, Lac;lac;Chaudière-Appalaches;46.01639;-71.32273;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA21
1990-08-16;Toote, Lac;lac;Outaouais;45.81478;-76.37693;hydrozoaire;Craspedacusta sowerbii;Méduse d'eau douce;Échantillonnage scientifique;Littérature scientifique;McAlpine et al. (2011);CRSO09
1990-10-01;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.74130;-71.29470;poisson;Oncorhynchus tshawytscha;Saumon chinook;Échantillonnage scientifique;SEPAQ;RIPE;ONTS09
1991;Saint-François, Rivière;rivière;Centre-du-Québec;46.11903;-72.92313;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA22
1991-07-31;Saint-François, Rivière;rivière;Centre-du-Québec;46.11903;-72.92313;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA23
1991-07-31;Saint-François, Rivière;rivière;Centre-du-Québec;46.11903;-72.92313;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA24
1991-07-31;Saint-François, Rivière;rivière;Centre-du-Québec;46.11903;-72.92313;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA25
1991-07-31;Saint-François, Rivière;rivière;Centre-du-Québec;46.11903;-72.92313;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA26
1991-07-31;Saint-François, Rivière;rivière;Centre-du-Québec;46.11903;-72.92313;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA27
1991-07-31;Saint-François, Rivière;rivière;Centre-du-Québec;46.11903;-72.92313;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA28
1991-07-31;Saint-François, Rivière;rivière;Centre-du-Québec;46.11903;-72.92313;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA29
1991-07-31;Saint-François, Rivière;rivière;Centre-du-Québec;46.11903;-72.92313;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA30
1991-09-13;Saint-Laurent, Fleuve;fleuve;Capitale-Nationale;46.93441;-71.05205;poisson;Carassius auratus;Poisson rouge;Échantillonnage scientifique;MELCCFP;IFA;CAAU06
1992-07-01;Desmarais, Lac;lac;Estrie;45.46003;-72.11509;poisson;Carassius auratus;Poisson rouge;Mention du public;MELCCFP;;CAAU08
1992-07-15;Saint-Laurent, Fleuve;fleuve;Montérégie;45.120468;-74.49730;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Désy et al. (2000);BITE27
1992-07-15;Saint-Laurent, Fleuve;fleuve;Montérégie;45.058907;-74.45403;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Désy et al. (2000);BITE29
1992-07-15;Saint-Laurent, Fleuve;fleuve;Montérégie;45.083149;-74.43207;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Désy et al. (2000);BITE28
1992-07-15;Saint-Laurent, Fleuve;fleuve;Montérégie;45.396787;-73.94577;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Désy et al. (2000);BITE25
1992-07-15;Saint-Laurent, Fleuve;fleuve;Montérégie;45.32152;-73.93204;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Désy et al. (2000);BITE22
1992-07-15;Saint-Laurent, Fleuve;fleuve;Montérégie;45.355065;-73.93135;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Désy et al. (2000);BITE23
1992-07-15;Saint-Laurent, Fleuve;fleuve;Montérégie;45.373397;-73.88328;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Désy et al. (2000);BITE24
1992-07-15;Saint-Laurent, Fleuve;fleuve;Montérégie;45.31935;-73.87710;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Désy et al. (2000);BITE21
1992-07-15;Saint-Laurent, Fleuve;fleuve;Montérégie;45.33311;-73.82801;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Désy et al. (2000);BITE20
1992-07-15;Saint-Laurent, Fleuve;fleuve;Montérégie;45.35458;-73.80226;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Désy et al. (2000);BITE19
1992-07-15;Saint-Laurent, Fleuve;fleuve;Montérégie;45.445464;-73.79127;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Désy et al. (2000);BITE26
1992-07-15;Saint-Laurent, Fleuve;fleuve;Montérégie;45.781238;-73.353752;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Désy et al. (2000);BITE33
1992-07-15;Saint-Laurent, Fleuve;fleuve;Montérégie;45.841452;-73.293449;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Désy et al. (2000);BITE32
1992-07-15;Saint-Laurent, Fleuve;fleuve;Montérégie;45.87876;-73.266242;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Désy et al. (2000);BITE31
1992-07-15;Saint-Laurent, Fleuve;fleuve;Montérégie;45.898674;-73.216878;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Désy et al. (2000);BITE30
1992-08-07;Campion, Lac;lac;Laurentides;46.12607;-75.64691;hydrozoaire;Craspedacusta sowerbii;Méduse d'eau douce;Échantillonnage scientifique;Littérature scientifique;McAlpine et al. (2011);CRSO10
1992-09-22;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.74130;-71.29470;poisson;Carassius auratus;Poisson rouge;Échantillonnage scientifique;SEPAQ;RIPE;CAAU09
1993-05-08;Leamy, Décharge du Lac;lac;Outaouais;45.45111;-75.71111;reptile;Trachemys scripta elegans;Tortue à oreilles rouges;Mention du public;MELCCFP;BORAQ;TRSC01
1993-05-14;Caribou, Lac;lac;Chaudière-Appalaches;46.01639;-71.32273;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA33
